*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Nov 21 2024 21:50:18
*************************************************
parsing config file: /home/shichen/os/compile-time-prefetcher-classification/ChampSim/config/spp_dev2.ini

trace_0 /home/shichen/os/compile-time-prefetcher-classification/ChampSim/traces/607.cactuBSSN_s-4004B.champsimtrace.xz
Heartbeat CPU  0 instructions:  148000000 cycles:  100738078 heartbeat IPC: 1.09583 cumulative IPC: 1.09709 (Simulation time: 0 hr 6 min 52 sec) 
Heartbeat CPU  0 instructions:  149000000 cycles:  101647848 heartbeat IPC: 1.09918 cumulative IPC: 1.09713 (Simulation time: 0 hr 6 min 55 sec) 
Heartbeat CPU  0 instructions:  150000000 cycles:  102566845 heartbeat IPC: 1.08814 cumulative IPC: 1.09695 (Simulation time: 0 hr 6 min 58 sec) 
Heartbeat CPU  0 instructions:  151000002 cycles:  103470970 heartbeat IPC: 1.10604 cumulative IPC: 1.09713 (Simulation time: 0 hr 7 min 1 sec) 
Heartbeat CPU  0 instructions:  152000000 cycles:  104384165 heartbeat IPC: 1.09505 cumulative IPC: 1.09709 (Simulation time: 0 hr 7 min 4 sec) 
Heartbeat CPU  0 instructions:  153000002 cycles:  105301088 heartbeat IPC: 1.09061 cumulative IPC: 1.09697 (Simulation time: 0 hr 7 min 7 sec) 
Heartbeat CPU  0 instructions:  154000003 cycles:  106215266 heartbeat IPC: 1.09388 cumulative IPC: 1.09691 (Simulation time: 0 hr 7 min 11 sec) 
Heartbeat CPU  0 instructions:  155000000 cycles:  107134872 heartbeat IPC: 1.08742 cumulative IPC: 1.09674 (Simulation time: 0 hr 7 min 14 sec) 
Heartbeat CPU  0 instructions:  156000000 cycles:  108058391 heartbeat IPC: 1.08281 cumulative IPC: 1.09648 (Simulation time: 0 hr 7 min 18 sec) 
Heartbeat CPU  0 instructions:  157000000 cycles:  108976824 heartbeat IPC: 1.08881 cumulative IPC: 1.09635 (Simulation time: 0 hr 7 min 21 sec) 
Heartbeat CPU  0 instructions:  158000001 cycles:  109901517 heartbeat IPC: 1.08144 cumulative IPC: 1.09609 (Simulation time: 0 hr 7 min 24 sec) 
Heartbeat CPU  0 instructions:  159000000 cycles:  110812002 heartbeat IPC: 1.09831 cumulative IPC: 1.09613 (Simulation time: 0 hr 7 min 28 sec) 
Heartbeat CPU  0 instructions:  160000000 cycles:  111729718 heartbeat IPC: 1.08966 cumulative IPC: 1.09602 (Simulation time: 0 hr 7 min 31 sec) 
Heartbeat CPU  0 instructions:  161000002 cycles:  112647481 heartbeat IPC: 1.08961 cumulative IPC: 1.09591 (Simulation time: 0 hr 7 min 34 sec) 
Heartbeat CPU  0 instructions:  162000001 cycles:  113553341 heartbeat IPC: 1.10392 cumulative IPC: 1.09604 (Simulation time: 0 hr 7 min 38 sec) 
Heartbeat CPU  0 instructions:  163000003 cycles:  114474593 heartbeat IPC: 1.08548 cumulative IPC: 1.09587 (Simulation time: 0 hr 7 min 41 sec) 
Heartbeat CPU  0 instructions:  164000000 cycles:  115382973 heartbeat IPC: 1.10086 cumulative IPC: 1.09595 (Simulation time: 0 hr 7 min 45 sec) 
Heartbeat CPU  0 instructions:  165000003 cycles:  116291737 heartbeat IPC: 1.10040 cumulative IPC: 1.09602 (Simulation time: 0 hr 7 min 48 sec) 
Heartbeat CPU  0 instructions:  166000001 cycles:  117207181 heartbeat IPC: 1.09236 cumulative IPC: 1.09596 (Simulation time: 0 hr 7 min 51 sec) 
Heartbeat CPU  0 instructions:  167000003 cycles:  118120706 heartbeat IPC: 1.09466 cumulative IPC: 1.09594 (Simulation time: 0 hr 7 min 54 sec) 
Heartbeat CPU  0 instructions:  168000000 cycles:  119020361 heartbeat IPC: 1.11153 cumulative IPC: 1.09617 (Simulation time: 0 hr 7 min 57 sec) 
Heartbeat CPU  0 instructions:  169000000 cycles:  119938834 heartbeat IPC: 1.08876 cumulative IPC: 1.09606 (Simulation time: 0 hr 8 min 0 sec) 
Heartbeat CPU  0 instructions:  170000002 cycles:  120845213 heartbeat IPC: 1.10329 cumulative IPC: 1.09616 (Simulation time: 0 hr 8 min 4 sec) 
Heartbeat CPU  0 instructions:  171000003 cycles:  121760618 heartbeat IPC: 1.09241 cumulative IPC: 1.09611 (Simulation time: 0 hr 8 min 7 sec) 
Heartbeat CPU  0 instructions:  172000000 cycles:  122677490 heartbeat IPC: 1.09066 cumulative IPC: 1.09603 (Simulation time: 0 hr 8 min 10 sec) 
Heartbeat CPU  0 instructions:  173000003 cycles:  123591540 heartbeat IPC: 1.09404 cumulative IPC: 1.09601 (Simulation time: 0 hr 8 min 13 sec) 
Heartbeat CPU  0 instructions:  174000000 cycles:  124522779 heartbeat IPC: 1.07384 cumulative IPC: 1.09570 (Simulation time: 0 hr 8 min 16 sec) 
Heartbeat CPU  0 instructions:  175000000 cycles:  125442249 heartbeat IPC: 1.08758 cumulative IPC: 1.09559 (Simulation time: 0 hr 8 min 19 sec) 
Heartbeat CPU  0 instructions:  176000000 cycles:  126361004 heartbeat IPC: 1.08843 cumulative IPC: 1.09550 (Simulation time: 0 hr 8 min 22 sec) 
Heartbeat CPU  0 instructions:  177000000 cycles:  127283754 heartbeat IPC: 1.08372 cumulative IPC: 1.09534 (Simulation time: 0 hr 8 min 26 sec) 
Heartbeat CPU  0 instructions:  178000003 cycles:  128198738 heartbeat IPC: 1.09292 cumulative IPC: 1.09531 (Simulation time: 0 hr 8 min 29 sec) 
Heartbeat CPU  0 instructions:  179000003 cycles:  129108013 heartbeat IPC: 1.09978 cumulative IPC: 1.09537 (Simulation time: 0 hr 8 min 32 sec) 
Heartbeat CPU  0 instructions:  180000000 cycles:  130025606 heartbeat IPC: 1.08980 cumulative IPC: 1.09530 (Simulation time: 0 hr 8 min 35 sec) 
Heartbeat CPU  0 instructions:  181000000 cycles:  130946835 heartbeat IPC: 1.08551 cumulative IPC: 1.09517 (Simulation time: 0 hr 8 min 39 sec) 
Heartbeat CPU  0 instructions:  182000001 cycles:  131865840 heartbeat IPC: 1.08813 cumulative IPC: 1.09509 (Simulation time: 0 hr 8 min 42 sec) 
Heartbeat CPU  0 instructions:  183000001 cycles:  132782509 heartbeat IPC: 1.09091 cumulative IPC: 1.09504 (Simulation time: 0 hr 8 min 45 sec) 
Heartbeat CPU  0 instructions:  184000000 cycles:  133696184 heartbeat IPC: 1.09448 cumulative IPC: 1.09503 (Simulation time: 0 hr 8 min 48 sec) 
Heartbeat CPU  0 instructions:  185000000 cycles:  134627255 heartbeat IPC: 1.07403 cumulative IPC: 1.09478 (Simulation time: 0 hr 8 min 51 sec) 
Heartbeat CPU  0 instructions:  186000001 cycles:  135543755 heartbeat IPC: 1.09111 cumulative IPC: 1.09474 (Simulation time: 0 hr 8 min 55 sec) 
Heartbeat CPU  0 instructions:  187000003 cycles:  136458332 heartbeat IPC: 1.09340 cumulative IPC: 1.09472 (Simulation time: 0 hr 8 min 58 sec) 
Heartbeat CPU  0 instructions:  188000000 cycles:  137383823 heartbeat IPC: 1.08050 cumulative IPC: 1.09456 (Simulation time: 0 hr 9 min 1 sec) 
Heartbeat CPU  0 instructions:  189000002 cycles:  138291311 heartbeat IPC: 1.10195 cumulative IPC: 1.09464 (Simulation time: 0 hr 9 min 4 sec) 
Heartbeat CPU  0 instructions:  190000003 cycles:  139203133 heartbeat IPC: 1.09671 cumulative IPC: 1.09466 (Simulation time: 0 hr 9 min 7 sec) 
Heartbeat CPU  0 instructions:  191000003 cycles:  140127431 heartbeat IPC: 1.08190 cumulative IPC: 1.09452 (Simulation time: 0 hr 9 min 11 sec) 
Heartbeat CPU  0 instructions:  192000000 cycles:  141035232 heartbeat IPC: 1.10156 cumulative IPC: 1.09460 (Simulation time: 0 hr 9 min 14 sec) 
Heartbeat CPU  0 instructions:  193000000 cycles:  141952059 heartbeat IPC: 1.09072 cumulative IPC: 1.09456 (Simulation time: 0 hr 9 min 17 sec) 
Heartbeat CPU  0 instructions:  194000002 cycles:  142864236 heartbeat IPC: 1.09628 cumulative IPC: 1.09457 (Simulation time: 0 hr 9 min 20 sec) 
Heartbeat CPU  0 instructions:  195000002 cycles:  143762363 heartbeat IPC: 1.11343 cumulative IPC: 1.09477 (Simulation time: 0 hr 9 min 23 sec) 
Heartbeat CPU  0 instructions:  196000000 cycles:  144678279 heartbeat IPC: 1.09180 cumulative IPC: 1.09474 (Simulation time: 0 hr 9 min 27 sec) 
Heartbeat CPU  0 instructions:  197000003 cycles:  145587990 heartbeat IPC: 1.09925 cumulative IPC: 1.09478 (Simulation time: 0 hr 9 min 30 sec) 
Heartbeat CPU  0 instructions:  198000000 cycles:  146502431 heartbeat IPC: 1.09356 cumulative IPC: 1.09477 (Simulation time: 0 hr 9 min 33 sec) 
Heartbeat CPU  0 instructions:  199000001 cycles:  147423968 heartbeat IPC: 1.08514 cumulative IPC: 1.09467 (Simulation time: 0 hr 9 min 36 sec) 
Heartbeat CPU  0 instructions:  200000000 cycles:  148332745 heartbeat IPC: 1.10038 cumulative IPC: 1.09473 (Simulation time: 0 hr 9 min 39 sec) 
Heartbeat CPU  0 instructions:  201000002 cycles:  149244028 heartbeat IPC: 1.09736 cumulative IPC: 1.09476 (Simulation time: 0 hr 9 min 42 sec) 
Heartbeat CPU  0 instructions:  202000002 cycles:  150161957 heartbeat IPC: 1.08941 cumulative IPC: 1.09470 (Simulation time: 0 hr 9 min 46 sec) 
Heartbeat CPU  0 instructions:  203000002 cycles:  151080934 heartbeat IPC: 1.08817 cumulative IPC: 1.09464 (Simulation time: 0 hr 9 min 49 sec) 
Heartbeat CPU  0 instructions:  204000000 cycles:  152006176 heartbeat IPC: 1.08080 cumulative IPC: 1.09450 (Simulation time: 0 hr 9 min 52 sec) 
Heartbeat CPU  0 instructions:  205000000 cycles:  152924324 heartbeat IPC: 1.08915 cumulative IPC: 1.09445 (Simulation time: 0 hr 9 min 55 sec) 
Heartbeat CPU  0 instructions:  206000001 cycles:  153828825 heartbeat IPC: 1.10558 cumulative IPC: 1.09456 (Simulation time: 0 hr 9 min 58 sec) 
Heartbeat CPU  0 instructions:  207000000 cycles:  154741672 heartbeat IPC: 1.09547 cumulative IPC: 1.09457 (Simulation time: 0 hr 10 min 1 sec) 
Heartbeat CPU  0 instructions:  208000000 cycles:  155653020 heartbeat IPC: 1.09728 cumulative IPC: 1.09459 (Simulation time: 0 hr 10 min 5 sec) 
Heartbeat CPU  0 instructions:  209000001 cycles:  156560718 heartbeat IPC: 1.10169 cumulative IPC: 1.09466 (Simulation time: 0 hr 10 min 8 sec) 
Heartbeat CPU  0 instructions:  210000000 cycles:  157471811 heartbeat IPC: 1.09758 cumulative IPC: 1.09468 (Simulation time: 0 hr 10 min 11 sec) 
Heartbeat CPU  0 instructions:  211000002 cycles:  158381239 heartbeat IPC: 1.09959 cumulative IPC: 1.09473 (Simulation time: 0 hr 10 min 14 sec) 
Heartbeat CPU  0 instructions:  212000000 cycles:  159304911 heartbeat IPC: 1.08263 cumulative IPC: 1.09462 (Simulation time: 0 hr 10 min 17 sec) 
Heartbeat CPU  0 instructions:  213000000 cycles:  160217035 heartbeat IPC: 1.09634 cumulative IPC: 1.09463 (Simulation time: 0 hr 10 min 20 sec) 
Heartbeat CPU  0 instructions:  214000002 cycles:  161129354 heartbeat IPC: 1.09611 cumulative IPC: 1.09465 (Simulation time: 0 hr 10 min 23 sec) 
Heartbeat CPU  0 instructions:  215000001 cycles:  162048129 heartbeat IPC: 1.08840 cumulative IPC: 1.09459 (Simulation time: 0 hr 10 min 26 sec) 
Heartbeat CPU  0 instructions:  216000000 cycles:  162959376 heartbeat IPC: 1.09740 cumulative IPC: 1.09461 (Simulation time: 0 hr 10 min 29 sec) 
Heartbeat CPU  0 instructions:  217000000 cycles:  163869113 heartbeat IPC: 1.09922 cumulative IPC: 1.09465 (Simulation time: 0 hr 10 min 33 sec) 
Heartbeat CPU  0 instructions:  218000000 cycles:  164790883 heartbeat IPC: 1.08487 cumulative IPC: 1.09457 (Simulation time: 0 hr 10 min 36 sec) 
Heartbeat CPU  0 instructions:  219000001 cycles:  165697047 heartbeat IPC: 1.10355 cumulative IPC: 1.09465 (Simulation time: 0 hr 10 min 39 sec) 
Heartbeat CPU  0 instructions:  220000000 cycles:  166619885 heartbeat IPC: 1.08361 cumulative IPC: 1.09455 (Simulation time: 0 hr 10 min 42 sec) 
Heartbeat CPU  0 instructions:  221000003 cycles:  167534779 heartbeat IPC: 1.09303 cumulative IPC: 1.09454 (Simulation time: 0 hr 10 min 45 sec) 
Heartbeat CPU  0 instructions:  222000002 cycles:  168453799 heartbeat IPC: 1.08811 cumulative IPC: 1.09449 (Simulation time: 0 hr 10 min 48 sec) 
Heartbeat CPU  0 instructions:  223000002 cycles:  169382046 heartbeat IPC: 1.07730 cumulative IPC: 1.09434 (Simulation time: 0 hr 10 min 51 sec) 
Heartbeat CPU  0 instructions:  224000000 cycles:  170295562 heartbeat IPC: 1.09467 cumulative IPC: 1.09435 (Simulation time: 0 hr 10 min 54 sec) 
Heartbeat CPU  0 instructions:  225000001 cycles:  171203583 heartbeat IPC: 1.10130 cumulative IPC: 1.09440 (Simulation time: 0 hr 10 min 58 sec) 
Heartbeat CPU  0 instructions:  226000000 cycles:  172116339 heartbeat IPC: 1.09558 cumulative IPC: 1.09441 (Simulation time: 0 hr 11 min 1 sec) 
Heartbeat CPU  0 instructions:  227000001 cycles:  173021080 heartbeat IPC: 1.10529 cumulative IPC: 1.09450 (Simulation time: 0 hr 11 min 4 sec) 
Heartbeat CPU  0 instructions:  228000000 cycles:  173929315 heartbeat IPC: 1.10104 cumulative IPC: 1.09455 (Simulation time: 0 hr 11 min 7 sec) 
Heartbeat CPU  0 instructions:  229000001 cycles:  174837456 heartbeat IPC: 1.10115 cumulative IPC: 1.09460 (Simulation time: 0 hr 11 min 10 sec) 
Heartbeat CPU  0 instructions:  230000001 cycles:  175750717 heartbeat IPC: 1.09498 cumulative IPC: 1.09460 (Simulation time: 0 hr 11 min 13 sec) 
Heartbeat CPU  0 instructions:  231000000 cycles:  176826167 heartbeat IPC: 0.92984 cumulative IPC: 1.09312 (Simulation time: 0 hr 11 min 17 sec) 
Heartbeat CPU  0 instructions:  232000000 cycles:  177782336 heartbeat IPC: 1.04584 cumulative IPC: 1.09275 (Simulation time: 0 hr 11 min 20 sec) 
Heartbeat CPU  0 instructions:  233000001 cycles:  178702855 heartbeat IPC: 1.08634 cumulative IPC: 1.09270 (Simulation time: 0 hr 11 min 23 sec) 
Heartbeat CPU  0 instructions:  234000003 cycles:  179627130 heartbeat IPC: 1.08193 cumulative IPC: 1.09262 (Simulation time: 0 hr 11 min 26 sec) 
Heartbeat CPU  0 instructions:  235000002 cycles:  180540437 heartbeat IPC: 1.09492 cumulative IPC: 1.09264 (Simulation time: 0 hr 11 min 29 sec) 
Heartbeat CPU  0 instructions:  236000000 cycles:  181445935 heartbeat IPC: 1.10436 cumulative IPC: 1.09272 (Simulation time: 0 hr 11 min 32 sec) 
Heartbeat CPU  0 instructions:  237000000 cycles:  182357757 heartbeat IPC: 1.09671 cumulative IPC: 1.09275 (Simulation time: 0 hr 11 min 35 sec) 
Heartbeat CPU  0 instructions:  238000001 cycles:  183259111 heartbeat IPC: 1.10944 cumulative IPC: 1.09287 (Simulation time: 0 hr 11 min 38 sec) 
Heartbeat CPU  0 instructions:  239000002 cycles:  184168563 heartbeat IPC: 1.09956 cumulative IPC: 1.09292 (Simulation time: 0 hr 11 min 41 sec) 
Heartbeat CPU  0 instructions:  240000000 cycles:  185075636 heartbeat IPC: 1.10244 cumulative IPC: 1.09298 (Simulation time: 0 hr 11 min 44 sec) 
Heartbeat CPU  0 instructions:  241000001 cycles:  185977123 heartbeat IPC: 1.10928 cumulative IPC: 1.09310 (Simulation time: 0 hr 11 min 47 sec) 
Heartbeat CPU  0 instructions:  242000003 cycles:  186884846 heartbeat IPC: 1.10166 cumulative IPC: 1.09316 (Simulation time: 0 hr 11 min 50 sec) 
Heartbeat CPU  0 instructions:  243000002 cycles:  187793689 heartbeat IPC: 1.10030 cumulative IPC: 1.09321 (Simulation time: 0 hr 11 min 53 sec) 
Heartbeat CPU  0 instructions:  244000000 cycles:  188694663 heartbeat IPC: 1.10991 cumulative IPC: 1.09332 (Simulation time: 0 hr 11 min 57 sec) 
Heartbeat CPU  0 instructions:  245000003 cycles:  189612964 heartbeat IPC: 1.08897 cumulative IPC: 1.09329 (Simulation time: 0 hr 12 min 0 sec) 
Heartbeat CPU  0 instructions:  246000002 cycles:  190524932 heartbeat IPC: 1.09653 cumulative IPC: 1.09331 (Simulation time: 0 hr 12 min 3 sec) 
Heartbeat CPU  0 instructions:  247000002 cycles:  191432551 heartbeat IPC: 1.10178 cumulative IPC: 1.09337 (Simulation time: 0 hr 12 min 6 sec) 
Heartbeat CPU  0 instructions:  248000000 cycles:  192345971 heartbeat IPC: 1.09478 cumulative IPC: 1.09338 (Simulation time: 0 hr 12 min 9 sec) 
Heartbeat CPU  0 instructions:  249000000 cycles:  193251276 heartbeat IPC: 1.10460 cumulative IPC: 1.09346 (Simulation time: 0 hr 12 min 12 sec) 
Heartbeat CPU  0 instructions:  250000003 cycles:  194161070 heartbeat IPC: 1.09915 cumulative IPC: 1.09349 (Simulation time: 0 hr 12 min 15 sec) 
Heartbeat CPU  0 instructions:  251000002 cycles:  195067106 heartbeat IPC: 1.10371 cumulative IPC: 1.09356 (Simulation time: 0 hr 12 min 18 sec) 
Heartbeat CPU  0 instructions:  252000000 cycles:  195976199 heartbeat IPC: 1.10000 cumulative IPC: 1.09360 (Simulation time: 0 hr 12 min 22 sec) 
Heartbeat CPU  0 instructions:  253000003 cycles:  196883397 heartbeat IPC: 1.10230 cumulative IPC: 1.09366 (Simulation time: 0 hr 12 min 25 sec) 
Heartbeat CPU  0 instructions:  254000001 cycles:  197799281 heartbeat IPC: 1.09184 cumulative IPC: 1.09365 (Simulation time: 0 hr 12 min 28 sec) 
Heartbeat CPU  0 instructions:  255000000 cycles:  198707325 heartbeat IPC: 1.10127 cumulative IPC: 1.09370 (Simulation time: 0 hr 12 min 31 sec) 
Heartbeat CPU  0 instructions:  256000000 cycles:  199616638 heartbeat IPC: 1.09973 cumulative IPC: 1.09373 (Simulation time: 0 hr 12 min 34 sec) 
Heartbeat CPU  0 instructions:  257000000 cycles:  200521223 heartbeat IPC: 1.10548 cumulative IPC: 1.09381 (Simulation time: 0 hr 12 min 37 sec) 
Heartbeat CPU  0 instructions:  258000000 cycles:  201429131 heartbeat IPC: 1.10143 cumulative IPC: 1.09386 (Simulation time: 0 hr 12 min 40 sec) 
Heartbeat CPU  0 instructions:  259000000 cycles:  202339330 heartbeat IPC: 1.09866 cumulative IPC: 1.09389 (Simulation time: 0 hr 12 min 44 sec) 
Heartbeat CPU  0 instructions:  260000000 cycles:  203244545 heartbeat IPC: 1.10471 cumulative IPC: 1.09395 (Simulation time: 0 hr 12 min 47 sec) 
Heartbeat CPU  0 instructions:  261000001 cycles:  204153203 heartbeat IPC: 1.10053 cumulative IPC: 1.09399 (Simulation time: 0 hr 12 min 50 sec) 
Heartbeat CPU  0 instructions:  262000003 cycles:  205065316 heartbeat IPC: 1.09636 cumulative IPC: 1.09401 (Simulation time: 0 hr 12 min 53 sec) 
Heartbeat CPU  0 instructions:  263000001 cycles:  205971870 heartbeat IPC: 1.10308 cumulative IPC: 1.09406 (Simulation time: 0 hr 12 min 56 sec) 
Heartbeat CPU  0 instructions:  264000000 cycles:  206879982 heartbeat IPC: 1.10118 cumulative IPC: 1.09411 (Simulation time: 0 hr 12 min 59 sec) 
Heartbeat CPU  0 instructions:  265000003 cycles:  207791053 heartbeat IPC: 1.09761 cumulative IPC: 1.09413 (Simulation time: 0 hr 13 min 2 sec) 
Heartbeat CPU  0 instructions:  266000001 cycles:  208696616 heartbeat IPC: 1.10428 cumulative IPC: 1.09419 (Simulation time: 0 hr 13 min 5 sec) 
Heartbeat CPU  0 instructions:  267000001 cycles:  209604808 heartbeat IPC: 1.10109 cumulative IPC: 1.09423 (Simulation time: 0 hr 13 min 8 sec) 
Heartbeat CPU  0 instructions:  268000000 cycles:  210509730 heartbeat IPC: 1.10507 cumulative IPC: 1.09429 (Simulation time: 0 hr 13 min 12 sec) 
Heartbeat CPU  0 instructions:  269000001 cycles:  211413993 heartbeat IPC: 1.10587 cumulative IPC: 1.09436 (Simulation time: 0 hr 13 min 15 sec) 
Heartbeat CPU  0 instructions:  270000003 cycles:  212317186 heartbeat IPC: 1.10719 cumulative IPC: 1.09444 (Simulation time: 0 hr 13 min 18 sec) 
Heartbeat CPU  0 instructions:  271000002 cycles:  213223104 heartbeat IPC: 1.10385 cumulative IPC: 1.09449 (Simulation time: 0 hr 13 min 21 sec) 
Heartbeat CPU  0 instructions:  272000000 cycles:  214134528 heartbeat IPC: 1.09718 cumulative IPC: 1.09451 (Simulation time: 0 hr 13 min 24 sec) 
Heartbeat CPU  0 instructions:  273000000 cycles:  215050056 heartbeat IPC: 1.09227 cumulative IPC: 1.09449 (Simulation time: 0 hr 13 min 27 sec) 
Heartbeat CPU  0 instructions:  274000002 cycles:  215961729 heartbeat IPC: 1.09689 cumulative IPC: 1.09451 (Simulation time: 0 hr 13 min 30 sec) 
Heartbeat CPU  0 instructions:  275000001 cycles:  216887919 heartbeat IPC: 1.07969 cumulative IPC: 1.09442 (Simulation time: 0 hr 13 min 33 sec) 
Heartbeat CPU  0 instructions:  276000000 cycles:  217797705 heartbeat IPC: 1.09916 cumulative IPC: 1.09445 (Simulation time: 0 hr 13 min 36 sec) 
Heartbeat CPU  0 instructions:  277000000 cycles:  218712478 heartbeat IPC: 1.09317 cumulative IPC: 1.09444 (Simulation time: 0 hr 13 min 39 sec) 
Heartbeat CPU  0 instructions:  278000000 cycles:  219628080 heartbeat IPC: 1.09218 cumulative IPC: 1.09443 (Simulation time: 0 hr 13 min 43 sec) 
Heartbeat CPU  0 instructions:  279000001 cycles:  220539650 heartbeat IPC: 1.09701 cumulative IPC: 1.09444 (Simulation time: 0 hr 13 min 46 sec) 
Heartbeat CPU  0 instructions:  280000000 cycles:  221448321 heartbeat IPC: 1.10051 cumulative IPC: 1.09448 (Simulation time: 0 hr 13 min 48 sec) 
Heartbeat CPU  0 instructions:  281000000 cycles:  222358910 heartbeat IPC: 1.09819 cumulative IPC: 1.09450 (Simulation time: 0 hr 13 min 51 sec) 
Heartbeat CPU  0 instructions:  282000001 cycles:  223263218 heartbeat IPC: 1.10582 cumulative IPC: 1.09456 (Simulation time: 0 hr 13 min 54 sec) 
Heartbeat CPU  0 instructions:  283000001 cycles:  224171555 heartbeat IPC: 1.10091 cumulative IPC: 1.09459 (Simulation time: 0 hr 13 min 57 sec) 
Heartbeat CPU  0 instructions:  284000000 cycles:  225080445 heartbeat IPC: 1.10024 cumulative IPC: 1.09462 (Simulation time: 0 hr 14 min 0 sec) 
Heartbeat CPU  0 instructions:  285000001 cycles:  225985015 heartbeat IPC: 1.10550 cumulative IPC: 1.09468 (Simulation time: 0 hr 14 min 3 sec) 
Heartbeat CPU  0 instructions:  286000003 cycles:  226901589 heartbeat IPC: 1.09102 cumulative IPC: 1.09466 (Simulation time: 0 hr 14 min 7 sec) 
Heartbeat CPU  0 instructions:  287000003 cycles:  227815149 heartbeat IPC: 1.09462 cumulative IPC: 1.09466 (Simulation time: 0 hr 14 min 10 sec) 
Heartbeat CPU  0 instructions:  288000000 cycles:  228734715 heartbeat IPC: 1.08747 cumulative IPC: 1.09462 (Simulation time: 0 hr 14 min 13 sec) 
Heartbeat CPU  0 instructions:  289000003 cycles:  229646034 heartbeat IPC: 1.09731 cumulative IPC: 1.09464 (Simulation time: 0 hr 14 min 16 sec) 
Heartbeat CPU  0 instructions:  290000001 cycles:  230556067 heartbeat IPC: 1.09886 cumulative IPC: 1.09466 (Simulation time: 0 hr 14 min 19 sec) 
Heartbeat CPU  0 instructions:  291000001 cycles:  231465054 heartbeat IPC: 1.10013 cumulative IPC: 1.09469 (Simulation time: 0 hr 14 min 22 sec) 
Heartbeat CPU  0 instructions:  292000000 cycles:  232379414 heartbeat IPC: 1.09366 cumulative IPC: 1.09468 (Simulation time: 0 hr 14 min 25 sec) 
Heartbeat CPU  0 instructions:  293000002 cycles:  233286085 heartbeat IPC: 1.10294 cumulative IPC: 1.09472 (Simulation time: 0 hr 14 min 28 sec) 
Heartbeat CPU  0 instructions:  294000003 cycles:  234198057 heartbeat IPC: 1.09653 cumulative IPC: 1.09473 (Simulation time: 0 hr 14 min 31 sec) 
Heartbeat CPU  0 instructions:  295000000 cycles:  235107021 heartbeat IPC: 1.10015 cumulative IPC: 1.09476 (Simulation time: 0 hr 14 min 34 sec) 
Heartbeat CPU  0 instructions:  296000000 cycles:  236025902 heartbeat IPC: 1.08828 cumulative IPC: 1.09473 (Simulation time: 0 hr 14 min 37 sec) 
Heartbeat CPU  0 instructions:  297000001 cycles:  236944979 heartbeat IPC: 1.08805 cumulative IPC: 1.09469 (Simulation time: 0 hr 14 min 40 sec) 
Heartbeat CPU  0 instructions:  298000002 cycles:  237852540 heartbeat IPC: 1.10186 cumulative IPC: 1.09473 (Simulation time: 0 hr 14 min 43 sec) 
Heartbeat CPU  0 instructions:  299000001 cycles:  238766817 heartbeat IPC: 1.09376 cumulative IPC: 1.09473 (Simulation time: 0 hr 14 min 45 sec) 
Heartbeat CPU  0 instructions:  300000000 cycles:  239684104 heartbeat IPC: 1.09017 cumulative IPC: 1.09470 (Simulation time: 0 hr 14 min 48 sec) 
Heartbeat CPU  0 instructions:  301000002 cycles:  240589823 heartbeat IPC: 1.10410 cumulative IPC: 1.09475 (Simulation time: 0 hr 14 min 51 sec) 
Heartbeat CPU  0 instructions:  302000002 cycles:  241505745 heartbeat IPC: 1.09180 cumulative IPC: 1.09473 (Simulation time: 0 hr 14 min 54 sec) 
Heartbeat CPU  0 instructions:  303000003 cycles:  242420074 heartbeat IPC: 1.09370 cumulative IPC: 1.09473 (Simulation time: 0 hr 14 min 57 sec) 
Heartbeat CPU  0 instructions:  304000000 cycles:  243331574 heartbeat IPC: 1.09709 cumulative IPC: 1.09474 (Simulation time: 0 hr 15 min 0 sec) 
Heartbeat CPU  0 instructions:  305000001 cycles:  244244552 heartbeat IPC: 1.09532 cumulative IPC: 1.09474 (Simulation time: 0 hr 15 min 3 sec) 
Heartbeat CPU  0 instructions:  306000002 cycles:  245154286 heartbeat IPC: 1.09922 cumulative IPC: 1.09476 (Simulation time: 0 hr 15 min 6 sec) 
Heartbeat CPU  0 instructions:  307000001 cycles:  246072565 heartbeat IPC: 1.08899 cumulative IPC: 1.09474 (Simulation time: 0 hr 15 min 9 sec) 
Heartbeat CPU  0 instructions:  308000000 cycles:  246985185 heartbeat IPC: 1.09575 cumulative IPC: 1.09474 (Simulation time: 0 hr 15 min 12 sec) 
Heartbeat CPU  0 instructions:  309000003 cycles:  247897294 heartbeat IPC: 1.09636 cumulative IPC: 1.09475 (Simulation time: 0 hr 15 min 15 sec) 
Heartbeat CPU  0 instructions:  310000000 cycles:  248815611 heartbeat IPC: 1.08895 cumulative IPC: 1.09472 (Simulation time: 0 hr 15 min 18 sec) 
Heartbeat CPU  0 instructions:  311000000 cycles:  249732673 heartbeat IPC: 1.09044 cumulative IPC: 1.09470 (Simulation time: 0 hr 15 min 20 sec) 
Heartbeat CPU  0 instructions:  312000000 cycles:  250637560 heartbeat IPC: 1.10511 cumulative IPC: 1.09475 (Simulation time: 0 hr 15 min 23 sec) 
Heartbeat CPU  0 instructions:  313000001 cycles:  251563143 heartbeat IPC: 1.08040 cumulative IPC: 1.09468 (Simulation time: 0 hr 15 min 26 sec) 
